無くす【なくす】 (nakusu),"to lose (something), (Godan verb, Transitive verb)"
並ぶ【ならぶ】 (narabu),"to line up,to stand in a line, (Godan verb, Intransitive verb)"
習う【ならう】 (narau),"to be taught; to learn (from a teacher), (Godan verb, Transitive verb)"
登る【のぼる】 (noboru),"to climb, (Godan verb, Intransitive verb)"
飲む【のむ】 (nomu),"to drink, (Godan verb, Transitive verb)"
乗る【のる】 (noru),"to get on (train, plane, bus, ship, etc.), (Godan verb, Intransitive verb)"
脱ぐ【ぬぐ】 (nugu),"to take off clothes, (Godan verb, Transitive verb)"
置く【おく】 (oku),"to put; to place, (Godan verb, Transitive verb)"
押す【おす】 (osu),"to push; to press, (Godan verb, Transitive verb)"
終わる【おわる】 (owaru),"to finish; to end, (Godan verb, Intransitive verb)"
泳ぐ【およぐ】 (oyogu),"to swim, (Godan verb, Intransitive verb)"
料理【りょうり】 (ryouri),"cuisine, (Suru verb)"
咲く【さく】 (saku),"to bloom, (Godan verb, Intransitive verb)"
差す【さす】 (sasu),"to stretch out hands, to raise an umbrella, (Godan verb, Transitive verb)"
洗濯【せんたく】 (sentaku),"washing; laundry, (Suru verb)"
閉まる【しまる】 (shimaru),"to close, to be closed, (Godan verb, Intransitive verb)"
死ぬ【しぬ】 (shinu),"to die, (Godan verb, Intransitive verb)"
知る【しる】 (shiru),"to know, (Godan verb, Transitive verb)"
掃除【そうじ】 (souji),"to clean, to sweep, (Suru verb)"
住む【すむ】 (sumu),"to live in; to reside; to inhabit; to dwell; to abide, (Godan verb, Intransitive verb)"
吸う【すう】 (suu),"to smoke, to suck, (Godan verb, Transitive verb)"
座る【すわる】 (suwaru),"to sit, (Godan verb, Intransitive verb)"
頼む【たのむ】 (tanomu),"to ask, (Godan verb, Transitive verb)"
立つ【たつ】 (tatsu),"to stand; to stand up, (Godan verb, Intransitive verb)"
テスト (tesuto),"examination; quiz; test, ()"
飛ぶ【とぶ】 (tobu),"to fly; to hop, (Godan verb, Intransitive verb)"
止まる【とまる】 (tomaru),"to stop; to come to a halt, (Godan verb, Intransitive verb)"
撮る【とる】 (toru),"to take a photo or record a film, (Godan verb, Transitive verb)"
取る【とる】 (toru),"to take; to pick up; to harvest; to earn; to win; to choose, (Godan verb, Transitive verb)"
使う【つかう】 (tsukau),"to use, (Godan verb, Transitive verb)"
着く【つく】 (tsuku),"to arrive at, (Godan verb, Intransitive verb)"
作る【つくる】 (tsukuru),"to make, (Godan verb, Transitive verb)"
売る【うる】 (uru),"to sell, (Godan verb, Transitive verb)"
歌う【うたう】 (utau),"to sing, (Godan verb, Intransitive verb, Transitive verb)"
分かる【わかる】 (wakaru),"to understand; to comprehend; to grasp; to see; to get; to follow, (Godan verb, Intransitive verb)"
渡る【わたる】 (wataru),"to go across, (Godan verb, Intransitive verb)"
渡す 【わたす】 (watasu),"to hand over, (Godan verb, Transitive verb)"
やる (yaru),"to do, (Godan verb, Transitive verb)"
休む【やすむ】 (yasumu),"to be absent; to take a day off; to rest, (Godan verb, Intransitive verb)"
呼ぶ【よぶ】 (yobu),"to call out, to invite, (Godan verb, Transitive verb)"
読む【よむ】 (yomu),"to read; to guess; to predict; to read (someone's thoughts), (Godan verb, Transitive verb)"
